origem;destino;subsidio
ALCOCHETE;ALCOCHETE;9,00
ALCOCHETE;ALMADA;18,82
ALCOCHETE;AMADORA;17,76
ALCOCHETE;BARREIRO;14,00
ALCOCHETE;CASCAIS;26,67
ALCOCHETE;LISBOA;16,70
ALCOCHETE;LOURES;16,78
ALCOCHETE;MAFRA;26,60
ALCOCHETE;ODIVELAS;16,70
ALCOCHETE;OEIRAS;22,70
ALCOCHETE;SEIXAL;15,50
ALCOCHETE;SESIMBRA;20,60
ALCOCHETE;SETUBAL;18,40
ALCOCHETE;SINTRA;23,03
ALCOCHETE;TORRES VEDRAS;31,18
ALCOCHETE;VILA FRANCA DE XIRA;19,70
ALMADA;ALMADA;9,00
ALMADA;AMADORA;11,70
ALMADA;BARREIRO;15,50
ALMADA;CASCAIS;18,60
ALMADA;LISBOA;11,70
ALMADA;LOURES;15,70
ALMADA;MAFRA;23,05
ALMADA;ODIVELAS;15,70
ALMADA;OEIRAS;15,70
ALMADA;SEIXAL;10,00
ALMADA;SESIMBRA;14,00
ALMADA;SETUBAL;20,70
ALMADA;SINTRA;15,70
ALMADA;TORRES VEDRAS;27,66
ALMADA;VILA FRANCA DE XIRA;19,99
AMADORA;AMADORA;9,00
AMADORA;BARREIRO;20,20
AMADORA;CASCAIS;15,60
AMADORA;LISBOA;10,00
AMADORA;LOURES;10,00
AMADORA;MAFRA;17,51
AMADORA;ODIVELAS;10,00
AMADORA;OEIRAS;10,19
AMADORA;SEIXAL;15,70
AMADORA;SESIMBRA;18,70
AMADORA;SETUBAL;26,14
AMADORA;SINTRA;10,00
AMADORA;TORRES VEDRAS;24,90
AMADORA;VILA FRANCA DE XIRA;17,00
BARREIRO;BARREIRO;9,00
BARREIRO;CASCAIS;26,44
BARREIRO;LISBOA;20,20
BARREIRO;LOURES;20,66
BARREIRO;MAFRA;31,44
BARREIRO;ODIVELAS;20,57
BARREIRO;OEIRAS;21,02
BARREIRO;SEIXAL;10,00
BARREIRO;SESIMBRA;14,00
BARREIRO;SETUBAL;15,53
BARREIRO;SINTRA;23,20
BARREIRO;TORRES VEDRAS;36,05
BARREIRO;TORRES VEDRAS;36,05
CASCAIS;CASCAIS;9,00
CASCAIS;LISBOA;12,00
CASCAIS;LOURES;17,86
CASCAIS;MAFRA;28,07
CASCAIS;ODIVELAS;17,86
CASCAIS;OEIRAS;14,00
CASCAIS;SEIXAL;20,64
CASCAIS;SESIMBRA;29,70
CASCAIS;SETUBAL;29,78
CASCAIS;SINTRA;14,64
CASCAIS;TORRES VEDRAS;24,57
CASCAIS;VILA FRANCA DE XIRA;33,80
LISBOA;LISBOA;9,00
LISBOA;LOURES;8,72
LISBOA;MAFRA;24,85
LISBOA;ODIVELAS;8,72
LISBOA;OEIRAS;12,00
LISBOA;SEIXAL;14,00
LISBOA;SESIMBRA;23,70
LISBOA;SETUBAL;32,08
LISBOA;SINTRA;15,39
LISBOA;TORRES VEDRAS;34,63
LISBOA;VILA FRANCA DE XIRA;23,62
LOURES;LOURES;9,00
LOURES;MAFRA;18,66
LOURES;ODIVELAS;7,00
LOURES;OEIRAS;7,00
LOURES;SEIXAL;14,00
LOURES;SESIMBRA;18,90
LOURES;SETUBAL;27,50
LOURES;SINTRA;13,15
LOURES;TORRES VEDRAS;31,57
LOURES;VILA FRANCA DE XIRA;16,80
MAFRA;MAFRA;9,00
MAFRA;ODIVELAS;19,45
MAFRA;OEIRAS;19,45
MAFRA;SEIXAL;26,00
MAFRA;SESIMBRA;31,43
MAFRA;SETUBAL;33,22
MAFRA;SINTRA;16,20
MAFRA;TORRES VEDRAS;11,84
MAFRA;VILA FRANCA DE XIRA;29,20
ODIVELAS;ODIVELAS;9,00
ODIVELAS;OEIRAS;7,00
ODIVELAS;SEIXAL;14,30
ODIVELAS;SESIMBRA;26,40
ODIVELAS;SETUBAL;34,78
ODIVELAS;SINTRA;14,00
ODIVELAS;TORRES VEDRAS;30,28
ODIVELAS;VILA FRANCA DE XIRA;20,50
OEIRAS;OEIRAS;9,00
OEIRAS;SEIXAL;16,40
OEIRAS;SESIMBRA;24,66
OEIRAS;SETUBAL;29,78
OEIRAS;SINTRA;14,47
OEIRAS;TORRES VEDRAS;31,70
OEIRAS;VILA FRANCA DE XIRA;22,66
SEIXAL;SEIXAL;9,00
SEIXAL;SESIMBRA;14,00
SEIXAL;SETUBAL;19,78
SEIXAL;SINTRA;27,72
SEIXAL;TORRES VEDRAS;36,94
SEIXAL;VILA FRANCA DE XIRA;30,34
SESIMBRA;SESIMBRA;9,00
SESIMBRA;SETUBAL;14,00
SESIMBRA;SINTRA;28,85
SESIMBRA;TORRES VEDRAS;35,93
SESIMBRA;VILA FRANCA DE XIRA;32,34
SETUBAL;SETUBAL;9,00
SETUBAL;SINTRA;34,50
SETUBAL;TORRES VEDRAS;41,43
SETUBAL;VILA FRANCA DE XIRA;37,50
SINTRA;SINTRA;9,00
SINTRA;TORRES VEDRAS;25,22
SINTRA;VILA FRANCA DE XIRA;22,66
TORRES VEDRAS;TORRES VEDRAS;9,00
TORRES VEDRAS;VILA FRANCA DE XIRA;15,57
VILA FRANCA DE XIRA;VILA FRANCA DE XIRA;9,00